:START_ID,:END_ID,:TYPE,ratio,method
Matthew.13.9,Matthew.11.15,QUOTES,100,string_match
Matthew.13.9,Matthew.13.43,QUOTES,100,string_match
Matthew.13.11,Luke.8.10,QUOTES,92,string_match
Matthew.13.12,Matthew.25.29,QUOTES,95,string_match
Matthew.13.15,Acts.28.27,QUOTES,100,string_match
Matthew.13.33,Luke.13.21,QUOTES,100,string_match
Matthew.13.42,Matthew.13.50,QUOTES,100,string_match
Matthew.13.43,Matthew.11.15,QUOTES,100,string_match
Matthew.13.43,Matthew.13.9,QUOTES,100,string_match
Matthew.13.50,Matthew.13.42,QUOTES,100,string_match
Matthew.14.11,Mark.6.28,QUOTES,94,string_match
Matthew.14.20,Mark.6.42,QUOTES,100,string_match
Matthew.14.20,Luke.9.17,QUOTES,100,string_match
Matthew.14.20,Matthew.15.37,QUOTES,97,string_match
Matthew.14.20,Mark.8.8,QUOTES,93,string_match
Matthew.14.25,Mark.6.48,QUOTES,94,string_match
Matthew.14.27,Mark.6.50,QUOTES,100,string_match
Matthew.14.36,Mark.6.56,QUOTES,100,string_match
Matthew.15.4,Mark.7.10,QUOTES,97,string_match
Matthew.15.4,Exodus.21.17,QUOTES,94,string_match
Matthew.15.5,Mark.7.11,QUOTES,94,string_match
Matthew.15.8,Isaiah.29.13,QUOTES,100,string_match
Matthew.15.8,Mark.7.6,QUOTES,100,string_match
Matthew.15.9,Mark.7.7,QUOTES,100,string_match
Matthew.15.16,Mark.7.18,QUOTES,92,string_match
Matthew.15.32,Mark.8.2,QUOTES,100,string_match
Matthew.15.34,Mark.8.5,QUOTES,92,string_match
Matthew.15.35,Mark.8.6,QUOTES,100,string_match
Matthew.15.37,Mark.6.42,QUOTES,100,string_match
Matthew.15.37,Matthew.14.20,QUOTES,97,string_match
Matthew.15.37,Luke.9.17,QUOTES,97,string_match
Matthew.15.37,Mark.8.8,QUOTES,96,string_match
Matthew.16.14,Mark.8.28,QUOTES,100,string_match
Matthew.16.15,Mark.8.29,QUOTES,100,string_match
Matthew.16.15,Luke.9.20,QUOTES,100,string_match
Matthew.16.24,Mark.8.34,QUOTES,100,string_match
Matthew.16.24,Luke.9.23,QUOTES,92,string_match
Matthew.16.25,Luke.9.24,QUOTES,100,string_match
Matthew.16.25,Mark.8.35,QUOTES,96,string_match
Matthew.16.26,Mark.8.37,QUOTES,100,string_match
Matthew.17.3,Mark.9.4,QUOTES,100,string_match
Matthew.17.4,Mark.9.5,QUOTES,94,string_match
Matthew.17.17,Mark.9.19,QUOTES,100,string_match
Matthew.18.5,Luke.9.48,QUOTES,93,string_match
Matthew.18.6,Mark.9.42,QUOTES,96,string_match
Matthew.18.8,Mark.9.45,QUOTES,95,string_match
Matthew.19.2,Matthew.12.15,QUOTES,92,string_match
Matthew.19.5,Mark.10.7,QUOTES,100,string_match
Matthew.19.5,Ephesians.5.31,QUOTES,96,string_match
Matthew.19.5,Genesis.2.24,QUOTES,93,string_match
Matthew.19.6,Mark.10.9,QUOTES,100,string_match
Matthew.19.13,Mark.10.13,QUOTES,93,string_match
Matthew.19.14,Luke.18.16,QUOTES,96,string_match
Matthew.19.14,Mark.10.14,QUOTES,94,string_match
Matthew.19.24,Mark.10.25,QUOTES,100,string_match
Matthew.19.24,Luke.18.25,QUOTES,95,string_match
Matthew.19.26,Mark.10.27,QUOTES,94,string_match
Matthew.19.30,Mark.10.31,QUOTES,100,string_match
Matthew.20.17,Mark.10.32,QUOTES,94,string_match
Matthew.20.18,Mark.10.33,QUOTES,100,string_match
Matthew.20.25,Mark.10.42,QUOTES,96,string_match
Matthew.20.26,Mark.10.43,QUOTES,100,string_match
Matthew.20.28,Mark.10.45,QUOTES,97,string_match
Matthew.21.1,Mark.11.1,QUOTES,92,string_match
Matthew.21.9,Mark.11.9,QUOTES,92,string_match
Matthew.21.12,Mark.11.15,QUOTES,94,string_match
Matthew.21.13,Luke.19.46,QUOTES,94,string_match
Matthew.21.23,Mark.11.28,QUOTES,94,string_match
Matthew.21.24,Mark.11.29,QUOTES,100,string_match
Matthew.21.24,Luke.20.8,QUOTES,94,string_match
Matthew.21.25,Luke.20.5,QUOTES,100,string_match
Matthew.21.25,Mark.11.31,QUOTES,93,string_match
Matthew.21.27,Mark.11.33,QUOTES,100,string_match
Matthew.21.27,Luke.20.8,QUOTES,100,string_match
Matthew.21.30,Luke.20.30,QUOTES,100,string_match
Matthew.21.37,Mark.12.6,QUOTES,93,string_match
Matthew.21.39,Luke.20.15,QUOTES,93,string_match
Matthew.21.39,Mark.12.8,QUOTES,93,string_match
Matthew.21.42,Psalm.118.22,QUOTES,100,string_match
Matthew.21.42,Mark.12.11,QUOTES,100,string_match
Matthew.21.42,Psalm.118.23,QUOTES,93,string_match
Matthew.21.42,Mark.12.10,QUOTES,93,string_match
Matthew.21.44,Luke.20.18,QUOTES,100,string_match
Matthew.22.17,Luke.20.22,QUOTES,95,string_match
Matthew.22.21,Luke.20.25,QUOTES,100,string_match
Matthew.22.23,Mark.12.18,QUOTES,93,string_match
Matthew.22.27,Mark.12.22,QUOTES,100,string_match
Matthew.22.27,Luke.20.32,QUOTES,100,string_match
Matthew.22.28,Mark.12.23,QUOTES,94,string_match
Matthew.22.28,Luke.20.33,QUOTES,93,string_match
Matthew.22.33,Mark.11.18,QUOTES,94,string_match
Matthew.22.44,Mark.12.36,QUOTES,100,string_match
Matthew.23.6,Luke.20.46,QUOTES,92,string_match
Matthew.23.12,Luke.14.11,QUOTES,93,string_match
Matthew.23.37,Luke.13.34,QUOTES,99,string_match
Matthew.23.38,Luke.13.35,QUOTES,100,string_match
Matthew.23.39,Luke.13.35,QUOTES,97,string_match
Matthew.24.5,Mark.13.6,QUOTES,96,string_match
Matthew.24.6,Mark.13.7,QUOTES,94,string_match
Matthew.24.8,Mark.13.8,QUOTES,95,string_match
Matthew.24.13,Matthew.10.22,QUOTES,100,string_match
Matthew.24.13,Mark.13.13,QUOTES,100,string_match
Matthew.24.16,Mark.13.14,QUOTES,100,string_match
Matthew.24.17,Mark.13.15,QUOTES,92,string_match
Matthew.24.18,Mark.13.16,QUOTES,100,string_match
Matthew.24.19,Mark.13.17,QUOTES,100,string_match
Matthew.24.19,Luke.21.23,QUOTES,100,string_match
Matthew.24.23,Mark.13.21,QUOTES,99,string_match
Matthew.24.24,Mark.13.22,QUOTES,100,string_match
Matthew.24.28,Luke.17.37,QUOTES,100,string_match
Matthew.24.29,Mark.13.25,QUOTES,100,string_match
Matthew.24.30,Mark.13.26,QUOTES,100,string_match
Matthew.24.30,Luke.21.27,QUOTES,95,string_match
Matthew.24.32,Mark.13.28,QUOTES,100,string_match
Matthew.24.34,Mark.13.30,QUOTES,100,string_match
Matthew.24.34,Luke.21.32,QUOTES,100,string_match
Matthew.24.35,Mark.13.31,QUOTES,100,string_match
Matthew.24.35,Luke.21.33,QUOTES,100,string_match
Matthew.24.36,Mark.13.32,QUOTES,100,string_match
Matthew.24.41,Luke.17.35,QUOTES,92,string_match
Matthew.24.42,Matthew.25.13,QUOTES,92,string_match
Matthew.24.43,Luke.12.39,QUOTES,94,string_match
Matthew.24.44,Luke.12.40,QUOTES,100,string_match
Matthew.24.46,Luke.12.43,QUOTES,100,string_match
Matthew.24.47,Luke.12.44,QUOTES,100,string_match
Matthew.24.50,Luke.12.46,QUOTES,100,string_match
Matthew.25.13,Matthew.24.42,QUOTES,92,string_match
Matthew.25.20,Matthew.25.22,QUOTES,96,string_match
Matthew.25.21,Matthew.25.23,QUOTES,100,string_match
Matthew.25.22,Matthew.25.20,QUOTES,96,string_match
Matthew.25.23,Matthew.25.21,QUOTES,100,string_match
Matthew.25.29,Matthew.13.12,QUOTES,95,string_match
Matthew.25.35,Matthew.25.42,QUOTES,93,string_match
Matthew.25.42,Matthew.25.35,QUOTES,93,string_match
Matthew.26.5,Mark.14.2,QUOTES,100,string_match
Matthew.26.6,Mark.14.3,QUOTES,100,string_match
Matthew.26.11,Mark.14.7,QUOTES,100,string_match
Matthew.26.11,John.12.8,QUOTES,100,string_match
Matthew.26.13,Mark.14.9,QUOTES,98,string_match
Matthew.26.14,Mark.14.10,QUOTES,94,string_match
Matthew.26.17,Mark.14.12,QUOTES,93,string_match
Matthew.26.22,Mark.14.19,QUOTES,95,string_match
Matthew.26.24,Mark.14.21,QUOTES,99,string_match
Matthew.26.26,Mark.14.22,QUOTES,98,string_match
Matthew.26.30,Mark.14.26,QUOTES,100,string_match
Matthew.26.31,Mark.14.27,QUOTES,97,string_match
Matthew.26.32,Mark.14.28,QUOTES,100,string_match
Matthew.26.34,Mark.14.30,QUOTES,93,string_match
Matthew.26.38,Mark.14.34,QUOTES,97,string_match
Matthew.26.41,Mark.14.38,QUOTES,100,string_match
Matthew.26.43,Mark.14.40,QUOTES,100,string_match
Matthew.26.46,Mark.14.42,QUOTES,97,string_match
Matthew.26.47,Mark.14.43,QUOTES,92,string_match
Matthew.26.48,Mark.14.44,QUOTES,96,string_match
Matthew.26.49,Mark.14.45,QUOTES,100,string_match
Matthew.26.50,Mark.14.46,QUOTES,100,string_match
Matthew.26.51,Mark.14.47,QUOTES,93,string_match
Matthew.26.55,Mark.14.48,QUOTES,96,string_match
Matthew.26.62,Mark.14.60,QUOTES,94,string_match
Matthew.26.65,Mark.14.63,QUOTES,100,string_match
Matthew.26.75,Luke.22.62,QUOTES,100,string_match
Matthew.27.9,Matthew.2.17,QUOTES,100,string_match
Matthew.27.23,Mark.15.14,QUOTES,100,string_match
Matthew.27.26,Mark.15.15,QUOTES,98,string_match
Matthew.27.31,Mark.15.20,QUOTES,97,string_match
Matthew.27.39,Mark.15.29,QUOTES,100,string_match
